date,cp,pb,pe,pb_percentile,pe_percentile,fifty_median,hundred_median
2016/4/12,4366.97,1.7254901046094515,10.587560113044834,40.7498766650222,13.073507646768624,4194.969800000001,4449.4569
2016/4/11,4372.33,1.7233024784863331,10.50041970059179,40.473840078973346,12.240868706811451,4191.1162,4454.6976
2016/4/8,4316.39,1.7041607499090494,10.297092071534687,38.5679012345679,10.814814814814815,4186.9882,4460.136299999999
2016/4/7,4344.06,1.7156457870554205,10.347923978798963,39.82213438735178,11.215415019762846,4183.2684,4466.8561
2016/4/6,4402.66,1.7358813286942631,10.529466504742805,41.225902125556104,12.308452792881859,4180.8092,4473.6296999999995
2016/4/5,4439.36,1.750100898494531,10.55851330889382,41.889218595450046,12.561819980217606,4178.6414,4479.9313999999995
2016/4/1,4413.37,1.7457256462482948,10.456849494365267,41.76150420583869,11.875309252845126,4174.1116,4485.035099999999
2016/3/31,4395.88,1.7397096744097196,10.376970782949977,41.53465346534654,11.287128712871286,4170.2194,4488.9854
2016/3/30,4404.1,1.7495539919637515,10.788792552181613,41.80287270926201,14.759782070331848,4168.7108,4491.6404
2016/3/29,4297.69,1.7090829086860655,10.483071058766726,39.197224975222994,11.992071357779981,4166.1728,4491.948699999999
2016/3/28,4311.79,1.7205679458324357,10.446352771345477,40.35696579077838,11.650966782350025,4166.5814,4493.403
2016/3/25,4378.81,1.7533823376792086,10.703380783294222,41.91468253968254,13.938492063492063,4166.1914,4495.338599999999
2016/3/24,4353.06,1.7391627678789399,10.654423066732557,41.488833746898266,13.349875930521092,4168.9078,4496.3143
2016/3/23,4445.82,1.764320468294799,10.608917334943278,42.9493545183714,12.859980139026812,4170.7428,4497.6521
2016/3/22,4433.03,1.7555699638023263,10.400785986682813,42.126179831097865,11.425732737208147,4175.752,4498.793900000001
2016/3/21,4494.23,1.7954941405492326,10.782360125160334,45.02982107355865,14.363817097415508,4180.1948,4500.059400000001
2016/3/18,4356.67,1.7148612255122364,9.799517647263682,39.93038289408255,6.166086524117355,4182.796000000001,4500.477600000001
2016/3/17,4323.53,1.631868504412601,9.608730578024922,31.09452736318408,3.9303482587064678,4193.885200000001,4501.9646
2016/3/16,4334.93,1.5720365426896077,9.302314981974787,24.340467894474862,1.991040318566451,4206.0444,4504.1158000000005
2016/3/15,4244.88,1.5730015743303012,9.256063571250241,24.45219123505976,1.7430278884462151,4218.0761999999995,4505.8762
2016/3/14,4209.16,1.5903721438627831,9.348566392699338,26.307922272047833,2.242152466367713,4230.8322,4508.447
2016/3/11,4200.16,1.5488757833129652,9.22137501320683,21.335992023928217,1.345962113659023,4247.7304,4511.2315
2016/3/10,4178.68,1.5218548973735488,8.97855510690295,18.60349127182045,0.6982543640897756,4264.3772,4513.654199999999
